['al', 'birmingham', '1400-university-blvd-student-hill-center']
['az', 'avondale', '10110-w-mcdowell-rd']
['az', 'chandler', '3111-w-chandler-blvd']
['az', 'flagstaff', 'nau-student-union-first-floor']
['az', 'gilbert', '1555-n.-gilbert-rd.']
['az', 'gilbert', '2811-s-market-street']
['az', 'gilbert', '1753-north-higley-rd']
['az', 'gilbert', '3765-s.-gilbert-rd.']
['az', 'gilbert', '7494-south-power-road']
['az', 'glendale', '7700-w-arrowhead-towne-center']
['az', 'glendale', '4701-w.-thunderbird-rd']
['az', 'goodyear', '15479-w.-mcdowell-rd']
['az', 'goodyear', '13425-w.-mcdowell-rd']
['az', 'mesa', '4972-s.-power-rd.']
['az', 'mesa', '1653-s.-dobson-rd.']
['az', 'peoria', '7369-west-bell-rd']
['az', 'phoenix', '4302-e.-ray-rd.']
['az', 'phoenix', '4811-n.-16th-st.']
['az', 'phoenix', '2370-happy-valley-rd']
['az', 'phoenix', '245-east-bell-rd.']
['az', 'phoenix', '3320-w.-bethany-home-rd.']
['az', 'phoenix', '2837-n.-75th-ave']
['az', 'phoenix', '3110-north-central-ave.']
['az', 'phoenix', '4030-e.-thunderbird-rd.']
['az', 'phoenix', '2737-w.-thunderbird']
['az', 'scottsdale', '15686-n.-frank-lloyd-wright-blvd']
['az', 'scottsdale', '2765-n.-scottsdale-rd.']
['az', 'surprise', '13732-w-bell-rd']
['az', 'tempe', '1827-e.-guadalupe-rd.']
['az', 'tucson', '235-west-wetmore-rd.']
['az', 'tucson', '2904-n.-campbell-ave.']
['az', 'tucson', '6601-east-grant-rd']
['ar', 'bentonville', '909-southeast-j-street']
['ar', 'jonesboro', '2411-race-street']
['ca', 'agoura-hills', '5629-kanan-rd']
['ca', 'alameda', '2306-south-shore-center']
['ca', 'alameda', '2620-5th-street']
['ca', 'alhambra', '1131-s.-fremont-ave.']
['ca', 'american-canyon', '6050-main-st.']
['ca', 'anaheim', '1570-s.-disneyland-dr.']
['ca', 'anaheim', '1061-n-state-college-blvd']
['ca', 'antelope', '7903-walerga-rd.']
['ca', 'antioch', '5779-lone-tree-way']
['ca', 'arroyo-grande', '926-rancho-pkwy']
['ca', 'atascadero', '6994-el-camino-real']
['ca', 'auburn', '2154-grass-valley-hwy.']
['ca', 'azusa', '832-east-alosta-avenue']
['ca', 'bakersfield', '2701-ming-ave.']
['ca', 'bakersfield', '9360-rosedale-hwy.']
['ca', 'bakersfield', '5180-stockdale-hwy']
['ca', 'bakersfield', '5397-gosford-rd']
['ca', 'bakersfield', '16226-stockdale-hwy']
['ca', 'bakersfield', '2201-taft-highway']
['ca', 'bakersfield', '3300-harris-rd']
['ca', 'benicia', '804-a-southampton-rd.']
['ca', 'brea', '1065-brea-mall']
['ca', 'brea', '1080-east-imperial-hwy']
['ca', 'brentwood', '8630-brentwood-blvd.']
['ca', 'buena-park', '6940-beach-blvd']
['ca', 'burbank', '1739-n.-victory-place']
['ca', 'camarillo', '5021-verdugo-way']
['ca', 'cameron-park', '3008-green-valley-rd']
['ca', 'canoga-park', '6600-topanga-canyon-blvd']
['ca', 'canyon-country', '19382-soledad-canyon-rd.']
['ca', 'capitola', '3555-clares-street']
['ca', 'carlsbad', '2505-palomar-airport-rd']
['ca', 'carmichael', '7423-fair-oaks-blvd']
['ca', 'carson', '168-e-carson-st']
['ca', 'carson', '20700-south-avalon-blvd']
